SITE_NAME,STREET,LOCALITY,TOWN,COUNTY,POSTCODE,PARISH
OUR LADY & ST PATRICKS ROMAN CATHOLIC PRIMARY SCHOOL,FOURTH AVENUE,,TEIGNMOUTH,DEVON,TQ149DT,Teignmouth CP
THURLESTONE ALL SAINTS CHURCH OF ENGLAND PRIMARY SCHOOL,,THURLESTONE,KINGSBRIDGE,DEVON,TQ73NB,Thurlestone CP
WOLBOROUGH CHURCH OF ENGLAND PRIMARY SCHOOL,UNION STREET,,NEWTON ABBOT,DEVON,TQ122JU,Newton Abbot CP
ST ANDREWS CHURCH OF ENGLAND PRIMARY SCHOOL-MAIN SCHOOL SITE,,BUCKLAND MONACHORUM,YELVERTON,DEVON,PL207NA,Buckland Monachorum CP
MEAVY CHURCH OF ENGLAND PRIMARY SCHOOL,,MEAVY,YELVERTON,DEVON,PL206PJ,Meavy CP
LADY MODIFORDS CHURCH OF ENGLAND (VA) PRIMARY SCHOOL-MAIN SCHOOL SITE,,WALKHAMPTON,YELVERTON,DEVON,PL206JR,Walkhampton CP
LADY MODIFORDS CHURCH OF ENGLAND (VA) PRIMARY SCHOOL-PARISH FIELD,,WALKHAMPTON,YELVERTON,DEVON,PL206JR,Walkhampton CP
ST PETERS CHURCH OF ENGLAND VA JUNIOR SCHOOL TAVISTOCK,SCHOOL CLOSE,GREENLANDS,TAVISTOCK,DEVON,PL199HW,Tavistock CP
THE AXE VALLEY COMMUNITY COLLEGE,CHARD STREET,,AXMINSTER,DEVON,EX135EA,Axminster CP
COLYTON GRAMMAR SCHOOL-MAIN SCHOOL SITE,WHITWELL LANE,COLYFORD,COLYTON,DEVON,EX246HN,Colyton CP
COLYTON GRAMMAR SCHOOL-DETACHED FIELD,WHITWELL LANE,COLYFORD,COLYTON,DEVON,EX246HN,Colyton CP
QUEEN ELIZABETHS COMMUNITY TECHNOLOGY COLLEGE-LOWER SCHOOL,WESTERN ROAD,,CREDITON,DEVON,EX173LU,Crediton CP
QUEEN ELIZABETHS COMMUNITY TECHNOLOGY COLLEGE-UPPER SCHOOL,WESTERN ROAD,,CREDITON,DEVON,EX173LU,Crediton CP
QUEEN ELIZABETHS COMMUNITY TECHNOLOGY COLLEGE-EXHIBITION ROAD FIELDS,WESTERN ROAD,,CREDITON,DEVON,EX173LU,Crediton CP
QUEEN ELIZABETHS COMMUNITY TECHNOLOGY COLLEGE-FORCHES FIELDS,WESTERN ROAD,,CREDITON,DEVON,EX173LU,Crediton CP
QUEEN ELIZABETHS COMMUNITY TECHNOLOGY COLLEGE-ALEXANDRA ROAD PLAYING FIELDS,WESTERN ROAD,,CREDITON,DEVON,EX173LU,Crediton CP
HONITON COMMUNITY COLLEGE,SCHOOL LANE,,HONITON,DEVON,EX141QT,Honiton CP
THE KINGS SCHOOL-EAST SITE,BARRACK ROAD,,OTTERY ST MARY,DEVON,EX111RA,Ottery St. Mary CP
THE KINGS SCHOOL-WEST SITE (THORNE FARM),BARRACK ROAD,,OTTERY ST MARY,DEVON,EX111RA,Ottery St. Mary CP
THE KINGS SCHOOL-PLAYING FIELD,BARRACK ROAD,,OTTERY ST MARY,DEVON,EX111RA,Ottery St. Mary CP
UFFCULME SCHOOL-MAIN SCHOOL SITE,CHAPEL HILL,UFFCULME,CULLOMPTON,DEVON,EX153AG,
UFFCULME SCHOOL-DETACHED PLAYING FIELD,CHAPEL HILL,UFFCULME,CULLOMPTON,DEVON,EX153AG,
TIVERTON HIGH-MAIN SCHOOL SITE,BOLHAM ROAD,,TIVERTON,DEVON,EX166SQ,Tiverton CP
TIVERTON HIGH-BOLHAM ROAD PLAYING FIELD,BOLHAM ROAD,,TIVERTON,DEVON,EX166SQ,Tiverton CP
CLYST VALE COMMUNITY COLLEGE,STATION ROAD,BROADCLYST,EXETER,DEVON,EX53AJ,Broad Clyst CP
CULLOMPTON COMMUNITY COLLEGE-MAIN SCHOOL SITE,EXETER ROAD,,CULLOMPTON,DEVON,EX151DX,Cullompton CP
CULLOMPTON COMMUNITY COLLEGE-MEADOW LANE PLAYING FIELD,EXETER ROAD,,CULLOMPTON,DEVON,EX151DX,Cullompton CP
CULLOMPTON COMMUNITY COLLEGE-CULM VALLEY SPORTS CENTRE,MEADOW LANE,,CULLOMPTON,DEVON,EX151LL,Cullompton CP
SIDMOUTH COLLEGE,PRIMLEY ROAD,,SIDMOUTH,DEVON,EX109LG,Sidmouth CP
EXMOUTH COMMUNITY COLLEGE-LOWER SCHOOL (GREEN CLOSE),GIPSY LANE,,EXMOUTH,DEVON,EX83AF,Exmouth CP
EXMOUTH COMMUNITY COLLEGE-UPPER SCHOOL (GYPSY LANE),GIPSY LANE,,EXMOUTH,DEVON,EX83AF,Exmouth CP
THE CASTLE PRIMARY SCHOOL,BARRINGTON STREET,,TIVERTON,DEVON,EX166QR,Tiverton CP
WILCOMBE PRIMARY SCHOOL,LAZENBY ROAD,WILCOMBE,TIVERTON,DEVON,EX164AL,Tiverton CP
TWO MOORS PRIMARY SCHOOL,COWLEYMOOR ROAD,,TIVERTON,DEVON,EX166HH,Tiverton CP
BRAUNTON ACADEMY-MAIN SCHOOL SITE,BARTON LANE,,BRAUNTON,DEVON,EX332BP,Braunton CP
BRAUNTON ACADEMY-UPPER PLAYING FIELD WRAFTON ROAD,BARTON LANE,,BRAUNTON,DEVON,EX332BP,Braunton CP
BRAUNTON ACADEMY-LOWER PLAYING FIELD TWEEDIES,BARTON LANE,,BRAUNTON,DEVON,EX332BP,
BRAUNTON ACADEMY-UPPER TENNIS COURTS WRAFTON ROAD,BARTON LANE,,BRAUNTON,DEVON,EX332BP,Braunton CP
BRAUNTON ACADEMY-ATHLETIC TRACK,BARTON LANE,,BRAUNTON,DEVON,EX332BP,
THE COMMUNITY COLLEGE CHULMLEIGH-MAIN SCHOOL SITE,THREE CROSSWAYS,,CHULMLEIGH,DEVON,EX187AA,Chulmleigh CP
THE COMMUNITY COLLEGE CHULMLEIGH-FOURWAYS FIELD & TENNIS COURTS (BACK LANE),THREE CROSSWAYS,,CHULMLEIGH,DEVON,EX187AA,Chulmleigh CP
THE COMMUNITY COLLEGE CHULMLEIGH-ADJACENT ATHLETIC PLAYING FIELD,THREE CROSSWAYS,,CHULMLEIGH,DEVON,EX187AA,Chulmleigh CP
THE COMMUNITY COLLEGE CHULMLEIGH-LANGLEY LANE GROUNDS,THREE CROSSWAYS,,CHULMLEIGH,DEVON,EX187AA,Chulmleigh CP
GREAT TORRINGTON COMMUNITY SCHOOL SPORTS COLLEGE-MAIN SCHOOL SITE,CALVESFORD ROAD,,TORRINGTON,DEVON,EX387DJ,
GREAT TORRINGTON COMMUNITY SCHOOL SPORTS COLLEGE-HATCHMOOR ROAD PLAYING FIELD,CALVESFORD ROAD,,TORRINGTON,DEVON,EX387DJ,
HOLSWORTHY COMMUNITY COLLEGE-MAIN SCHOOL SITE,VICTORIA HILL,,HOLSWORTHY,DEVON,EX226JD,Holsworthy CP
HOLSWORTHY COMMUNITY COLLEGE-PINS PARK PLAYING FIELDS,VICTORIA HILL,,HOLSWORTHY,DEVON,EX226JD,Holsworthy CP
HOLSWORTHY COMMUNITY COLLEGE-CAR PARK WEST OF HOLSWORTHY SPORTS CENTRE,VICTORIA HILL,,HOLSWORTHY,DEVON,EX226JD,Holsworthy CP
HOLSWORTHY COMMUNITY COLLEGE-CAR PARK SOUTH OF HOLSWORTHY SPORTS CENTRE,VICTORIA HILL,,HOLSWORTHY,DEVON,EX226JD,Holsworthy CP
HOLSWORTHY COMMUNITY COLLEGE-HOLSWORTHY LEISURE CENTRE,VICTORIA HILL,,HOLSWORTHY,DEVON,EX226JD,Holsworthy CP
SOUTH MOLTON COMMUNITY COLLEGE-MAIN SCHOOL SITE,OLD ALSWEAR ROAD,,SOUTH MOLTON,DEVON,EX364LA,South Molton CP
SOUTH MOLTON COMMUNITY COLLEGE-DETACHED PLAYING FIELD,OLD ALSWEAR ROAD,,SOUTH MOLTON,DEVON,EX364LA,South Molton CP
ILFRACOMBE ACADEMY-MAIN SITE,WORTH ROAD,,ILFRACOMBE,DEVON,EX349JB,Ilfracombe CP
ILFRACOMBE ACADEMY-KILLICLEAVE PLAYING FIELDS,WORTH ROAD,,ILFRACOMBE,DEVON,EX349JB,Ilfracombe CP
THE PARK SCHOOL,PARK LANE,,BARNSTAPLE,DEVON,EX329AX,Barnstaple CP
PILTON COMMUNITY COLLEGE,CHADDIFORD LANE,,BARNSTAPLE,DEVON,EX311RB,Barnstaple CP
DARTMOUTH ACADEMY-MAIN SCHOOL SITE,MILTON LANE,,DARTMOUTH,DEVON,TQ69HW,Dartmouth CP
DARTMOUTH ACADEMY-DISTRICT COUNCIL SWIMMING POOL,MILTON LANE,,DARTMOUTH,DEVON,TQ69HW,Dartmouth CP
DAWLISH COMMUNITY COLLEGE-MAIN SCHOOL SITE,ELM GROVE ROAD,,DAWLISH,DEVON,EX70BY,Dawlish CP
DAWLISH COMMUNITY COLLEGE-T.D.C. PLAYING FIELDS,ELM GROVE ROAD,,DAWLISH,DEVON,EX70BY,Dawlish CP
DAWLISH COMMUNITY COLLEGE-T.D.C. ASTRO TURF PITCH,ELM GROVE ROAD,,DAWLISH,DEVON,EX70BY,Dawlish CP
DAWLISH COMMUNITY COLLEGE-DAWLISH LEISURE CENTRE,ELM GROVE ROAD,,DAWLISH,DEVON,EX70BY,Dawlish CP
TEIGN SCHOOL-MAIN SCHOOL SITE,CHUDLEIGH ROAD,,KINGSTEIGNTON,DEVON,TQ123JG,Kingsteignton CP
TEIGN SCHOOL-ABBROOK PLAYING FIELD,CHUDLEIGH ROAD,,KINGSTEIGNTON,DEVON,TQ123JG,Kingsteignton CP
TEIGN SCHOOL-FIVE LANES FIELD,CHUDLEIGH ROAD,,KINGSTEIGNTON,DEVON,TQ123JG,Kingsteignton CP
SOUTH DARTMOOR COMMUNITY COLLEGE-MAIN SCHOOL SITE,BALLAND LANE,,ASHBURTON,DEVON,TQ137EW,Ashburton CP
SOUTH DARTMOOR COMMUNITY COLLEGE-PLACE HOUSE SIXTH FORM SITE,BALLAND LANE,,ASHBURTON,DEVON,TQ137EW,Ashburton CP
SOUTH DARTMOOR COMMUNITY COLLEGE-CRICKET GROUND PLAYING FIELDS,BALLAND LANE,,ASHBURTON,DEVON,TQ137EW,Ashburton CP
KING EDWARD VI COMMUNITY COLLEGE-UPPER SCHOOL & KENNICOTT HOUSE,ASHBURTON ROAD,,TOTNES,DEVON,TQ95JX,Totnes CP
KING EDWARD VI COMMUNITY COLLEGE-LOWER SCHOOL,ASHBURTON ROAD,,TOTNES,DEVON,TQ95JX,Totnes CP
KINGSBRIDGE COMMUNITY COLLEGE-UPPER SCHOOL SITE WESTVILLE,BALKWILL ROAD,,KINGSBRIDGE,DEVON,TQ71PL,Kingsbridge CP
KINGSBRIDGE COMMUNITY COLLEGE-BELLE HILL PLAYING FIELD,BALKWILL ROAD,,KINGSBRIDGE,DEVON,TQ71PL,Kingsbridge CP
KINGSBRIDGE COMMUNITY COLLEGE-LAND FOR SPORTS FIELD WEST ALVINGTON HILL,BALKWILL ROAD,,KINGSBRIDGE,DEVON,TQ71PL,West Alvington CP
NEWTON ABBOT COLLEGE-MAIN OLD EXETER ROAD UPPER SITE,OLD EXETER ROAD,,NEWTON ABBOT,DEVON,TQ122NF,Newton Abbot CP
NEWTON ABBOT COLLEGE-EXETER ROAD LOWER SCHOOL SITE (PART OF DYRONS),OLD EXETER ROAD,,NEWTON ABBOT,DEVON,TQ122NF,Newton Abbot CP
NEWTON ABBOT COLLEGE-FORCHES CROSS PLAYING FIELDS,OLD EXETER ROAD,,NEWTON ABBOT,DEVON,TQ122NF,Teigngrace CP
NEWTON ABBOT COLLEGE-NEWTON ABBOT LEISURE CENTRE ACCOMODATION,OLD EXETER ROAD,,NEWTON ABBOT,DEVON,TQ122NF,Newton Abbot CP
COOMBESHEAD COLLEGE-UPPER SCHOOL SITE COOMBESHEAD ROAD,COOMBESHEAD ROAD,,NEWTON ABBOT,DEVON,TQ121PT,Newton Abbot CP
COOMBESHEAD COLLEGE-FORCHESS CROSS PLAYING FIELD,COOMBESHEAD ROAD,,NEWTON ABBOT,DEVON,TQ121PT,Newton Abbot CP
COOMBESHEAD COLLEGE-COLLEGE HOUSE SIXTH FORM CENTRE,COOMBESHEAD ROAD,,NEWTON ABBOT,DEVON,TQ121PT,Newton Abbot CP
TEIGNMOUTH COMMUNITY COLLEGE-MAIN SCHOOL AND WEST LAWN SITE,EXETER ROAD,,TEIGNMOUTH,DEVON,TQ149HZ,Teignmouth CP
TEIGNMOUTH COMMUNITY COLLEGE-RESERVOIR SPORTS FIELD SITE,EXETER ROAD,,TEIGNMOUTH,DEVON,TQ149HZ,Teignmouth CP
TAVISTOCK COLLEGE,CROWNDALE ROAD,,TAVISTOCK,DEVON,PL198DD,Tavistock CP
OKEHAMPTON COLLEGE,MILL ROAD,,OKEHAMPTON,DEVON,EX201PW,Okehampton CP
IVYBRIDGE COMMUNITY COLLEGE-MAIN SCHOOL SITE,HARFORD ROAD,,IVYBRIDGE,DEVON,PL210JA,Ivybridge CP
IVYBRIDGE COMMUNITY COLLEGE-COACH PARK,HARFORD ROAD,,IVYBRIDGE,DEVON,PL210JA,Ivybridge CP
IVYBRIDGE COMMUNITY COLLEGE-FILHAM PLAYING FIELD,HARFORD ROAD,,IVYBRIDGE,DEVON,PL210JA,Ivybridge CP
IVYBRIDGE COMMUNITY COLLEGE-GREENDOWN FARM CAMPING FIELD,HARFORD ROAD,,IVYBRIDGE,DEVON,PL210JA,
BICKLEIGH DOWN CHURCH OF ENGLAND PRIMARY SCHOOL,SCHOOL DRIVE,WOOLWELL,PLYMOUTH,DEVON,PL67JW,Bickleigh (South Hams) CP
NEWPORT COMMUNITY SCHOOL BARNSTAPLE,LANDKEY ROAD,NEWPORT,BARNSTAPLE,DEVON,EX329BW,Barnstaple CP
ALPHINGTON PRIMARY SCHOOL,WHEATSHEAF WAY,ALPHINGTON,EXETER,DEVON,EX28RQ,Exeter
RYDON PRIMARY SCHOOL,RYDON ROAD,KINGSTEIGNTON,NEWTON ABBOT,DEVON,TQ123LP,Kingsteignton CP
COUNTESS WEAR COMMUNITY SCHOOL,GLASSHOUSE LANE,,EXETER,DEVON,EX27BS,Exeter
CHULMLEIGH PRIMARY,BEACON ROAD,,CHULMLEIGH,DEVON,EX187AA,Chulmleigh CP
ST MARYS CHURCH OF ENGLAND PRIMARY SCHOOL BRIXTON,ELLIOTS HILL,BRIXTON,PLYMOUTH,DEVON,PL82AG,Brixton CP
CHUDLEIGH CHURCH OF ENGLAND COMMUNITY PRIMARY SCHOOL-MAIN SCHOOL SITE,LAWN DRIVE,CHUDLEIGH,NEWTON ABBOT,DEVON,TQ130LS,Chudleigh CP
CHUDLEIGH CHURCH OF ENGLAND COMMUNITY PRIMARY SCHOOL-PLAYGROUND,LAWN DRIVE,CHUDLEIGH,NEWTON ABBOT,DEVON,TQ130LS,Chudleigh CP
THE DUCHY SCHOOL BRADNINCH,BOWLEY MEADOW,BRADNINCH,EXETER,DEVON,EX54RF,Bradninch CP
OKEHAMPTON PRIMARY SCHOOL AND FOUNDATION UNIT,GLENDALE ROAD,,OKEHAMPTON,DEVON,EX201JB,Okehampton CP
THE TOPSHAM PRIMARY SCHOOL,ORCHARD WAY,TOPSHAM,EXETER,DEVON,EX30DN,Exeter
CANADA HILL COMMUNITY PRIMARY SCHOOL,ABBOTSRIDGE DRIVE,EAST OGWELL,NEWTON ABBOT,DEVON,TQ126YS,Ogwell CP
WEST HILL PRIMARY SCHOOL,BEECH PARK,WEST HILL,OTTERY ST MARY,DEVON,EX111UQ,Ottery St. Mary CP
NORTH MOLTON SCHOOL,FORE STREET,NORTH MOLTON,SOUTH MOLTON,DEVON,EX363HL,North Molton CP
SOUTH MOLTON COMMUNITY INFANTS SCHOOL,NORTH ROAD,,SOUTH MOLTON,DEVON,EX363BA,South Molton CP
GATEHOUSE PRIMARY SCHOOL,SECMATON LANE,GATEHOUSE FARM,DAWLISH,DEVON,EX70LW,Dawlish CP
HOLSWORTHY CHURCH OF ENGLAND PRIMARY SCHOOL-MAIN SCHOOL SITE,SANDERS LANE,,HOLSWORTHY,DEVON,EX226HD,Holsworthy CP
HOLSWORTHY CHURCH OF ENGLAND PRIMARY SCHOOL-GREAT OAK MEADOW,SANDERS LANE,,HOLSWORTHY,DEVON,EX226HD,Holsworthy CP
ORCHARD VALE COMMUNITY SCHOOL-MAIN SCHOOL SITE,WESTACOTT ROAD,WHIDDON VALLEY ESTATE,BARNSTAPLE,DEVON,EX328QY,Barnstaple CP
WOODLANDS PARK PRIMARY SCHOOL,ABBOT ROAD,CORNWOOD ROAD,IVYBRIDGE,DEVON,PL219TF,Ivybridge CP
YEALMPTON PRIMARY SCHOOL,STRAY PARK,YEALMPTON,PLYMOUTH,DEVON,PL82HF,Yealmpton CP
HORRABRIDGE COMMUNITY PRIMARY SCHOOL,WALKHAMPTON ROAD,HORRABRIDGE,YELVERTON,DEVON,PL207SZ,Horrabridge CP
WHITCHURCH COMMUNITY PRIMARY SCHOOL,WHITCHURCH ROAD,WHITCHURCH,TAVISTOCK,DEVON,PL199SR,Tavistock CP
TAVISTOCK COMMUNITY PRIMARY SCHOOL,PLYMOUTH ROAD,,TAVISTOCK,DEVON,PL198BX,Tavistock CP
WEST EXE TECHNOLOGY COLLEGE,HATHERLEIGH ROAD,,EXETER,DEVON,EX29JU,Exeter
NEWTON FERRERS CHURCH OF ENGLAND PRIMARY,"DILLONS, THE GREEN",NEWTON FERRERS,PLYMOUTH,DEVON,PL81AS,Newton and Noss CP
BOW COMMUNITY PRIMARY SCHOOL,STATION ROAD,BOW,CREDITON,DEVON,EX176HU,Bow CP
ST CATHERINES C OF E PRIMARY & NURSERY SCHOOL-BROWHILL RIDGE PLANTATION,MUSKET ROAD,HEATHFIELD,NEWTON ABBOT,DEVON,TQ126SB,Bovey Tracey CP
ST CATHERINES C OF E PRIMARY & NURSERY SCHOOL-PLAYING FIELD AT OLD SCHOOL SITE,MUSKET ROAD,HEATHFIELD,NEWTON ABBOT,DEVON,TQ126SB,Bovey Tracey CP
LANDKEY PRIMARY SCHOOL,BAKERY WAY,LANDKEY,BARNSTAPLE,DEVON,EX320LJ,Landkey CP
SOUTH BRENT PRIMARY SCHOOL-MAIN SCHOOL SITE,TOTNES ROAD,,SOUTH BRENT,DEVON,TQ109JN,South Brent CP
ST HELENS CHURCH OF ENGLAND PRIMARY SCHOOL ABBOTSHAM,,ABBOTSHAM,BIDEFORD,DEVON,EX395AP,Abbotsham CP
CHERITON FITZPAINE PRIMARY SCHOOL,WHITECROSS LANE,CHERITON FITZPAINE,CREDITON,DEVON,EX174LJ,Cheriton Fitzpaine CP
MORETONHAMPSTEAD PRIMARY SCHOOL,BETTON WAY,MORETONHAMPSTEAD,NEWTON ABBOT,DEVON,TQ138NA,Moretonhampstead CP
CLYST HEATH NURSERY AND COMMUNITY PRIMARY SCHOOL,ROYAL CRESCENT,CLYST HEATH,EXETER,DEVON,EX27QT,Exeter
ST LUKES CHURCH OF ENGLAND SCIENCE & SPORTS COLLEGE,HARTS LANE,WHIPTON,EXETER,DEVON,EX13RD,Exeter
ISCA COLLEGE OF MEDIA ARTS,EARL RICHARDS ROAD SOUTH,,EXETER,DEVON,EX26AP,Exeter
WYNSTREAM PRIMARY SCHOOL,BURNTHOUSE LANE,WONFORD,EXETER,DEVON,EX26AY,Exeter
ST JAMES SCHOOL-MAIN SCHOOL SITE,SUMMER LANE,,EXETER,DEVON,EX48NN,Exeter
ST JAMES SCHOOL-DETACHED PLAYING FIELD BELOW WILLOWBROOK,SUMMER LANE,,EXETER,DEVON,EX48NN,Exeter
HALWILL COMMUNITY PRIMARY SCHOOL,DREYBURY LANE,HALWILL JUNCTION,BEAFORD,DEVON,EX215XU,Halwill CP
EXWICK HEIGHTS PRIMARY SCHOOL,EXWICK LANE,EXWICK,EXETER,DEVON,EX42FB,Exeter
ST MICHAELS C OF E VA PRIMARY SCHOOL,SOUTH LAWN TERRACE,HEAVITREE,EXETER,DEVON,EX12SN,Exeter
ST SIDWELLS C of E PRIMARY SCHOOL,YORK ROAD,,EXETER,DEVON,EX46PG,Exeter
PINHOE C of E PRIMARY SCHOOL,HARRINGTON LANE,PINHOE,EXETER,DEVON,EX48PE,
ST NICHOLAS CATHOLIC PRIMARY SCHOOL,RINGSWELL AVENUE,,EXETER,DEVON,EX13EG,Exeter
WOODWATER ACADEMY (formerly WALTER DAW PRIMARY SCHOOL),WOODWATER LANE,,EXETER,DEVON,EX25AW,Exeter
ST PETERS CHURCH OF ENGLAND AIDED SCHOOL,QUARRY LANE,MIDDLEMOOR,EXETER,DEVON,EX25AP,Exeter
ST ANDREWS CHURCH OF ENGLAND PRIMARY SCHOOL (Chardstock),,CHARDSTOCK,AXMINSTER,DEVON,EX137BJ,Chardstock CP
DARTINGTON CHURCH OF ENGLAND PRIMARY SCHOOL,,DARTINGTON,TOTNES,DEVON,TQ96JU,Dartington CP
DARTINGTON CHURCH OF ENGLAND PRIMARY SCHOOL - CAR PARK,Shinners Bridge,Dartington,Totnes,Devon,TQ96JU,Dartington CP
ST MARTINS C OF E VA PRIMARY AND NURSERY SCHOOL,YOUNG HAYES ROAD,CRANBROOK,EXETER,DEVON,EX57DT,Broad Clyst CP
BAMPTON CHURCH OF ENGLAND PRIMARY SCHOOL,SCHOOL CLOSE,BAMPTON,TIVERTON,DEVON,EX169NW,Bampton CP
BIDEFORD COMMUNITY COLLEGE,ABBOTSHAM ROAD,,BIDEFORD,DEVON,EX393AR,
FORMER BIDEFORD COLLEGE-GENEVA PLACE SITE,ABBOTSHAM ROAD,,BIDEFORD,DEVON,EX393AR,
BIDEFORD COLLEGE-MORETON PARK PLAYING FIELDS,ABBOTSHAM ROAD,,BIDEFORD,DEVON,EX393AR,
BIDEFORD COLLEGE-MORETON WOODS,ABBOTSHAM ROAD,,BIDEFORD,DEVON,EX393AR,
MONTGOMERY PRIMARY SCHOOL,REDVERS ROAD,ST THOMAS,EXETER,DEVON,EX41BS,Exeter
