SITE_NAME,STREET,LOCALITY,TOWN,COUNTY,POSTCODE,PARISH
WILLOWBANK PRIMARY SCHOOL-KNOWLE LANE PLAYING FIELD,MANITOBA GARDENS,,CULLOMPTON,DEVON,EX151EZ,Cullompton CP
BASSETTS FARM PRIMARY SCHOOL,ST JOHNS ROAD,,EXMOUTH,DEVON,EX84GB,Exmouth CP
IDE PRIMARY SCHOOL,HIGH STREET,IDE,EXETER,DEVON,EX29RN,Ide CP
TEDBURN ST MARY SCHOOL,SCHOOL LANE,TEDBURN ST MARY,EXETER,DEVON,EX66AA,Tedburn St. Mary CP
SPREYTON SCHOOL-MAIN SCHOOL SITE,,SPREYTON,CREDITON,DEVON,EX175AJ,Spreyton CP
SPREYTON SCHOOL-PLAYING FIELD,,SPREYTON,CREDITON,DEVON,EX175AJ,
APPLEDORE COMMUNITY PRIMARY SCHOOL,RICHMOND ROAD,APPLEDORE,BIDEFORD,DEVON,EX391PF,Northam CP
ASHWATER PRIMARY SCHOOL-MAIN SCHOOL SITE,,ASHWATER,BEAWORTHY,DEVON,EX215EW,Ashwater CP
ASHWATER PRIMARY SCHOOL-CAR PARK SITE,,ASHWATER,BEAWORTHY,DEVON,EX215EW,Ashwater CP
FORCHES CROSS COMMUNITY PRIMARY SCHOOL,FORCHES AVENUE,,BARNSTAPLE,DEVON,EX328EF,Barnstaple CP
PILTON INFANTS SCHOOL,ABBEY ROAD,PILTON,BARNSTAPLE,DEVON,EX311JU,Barnstaple CP
BEAFORD COMMUNITY PRIMARY & NURSERY SCHOOL,,BEAFORD,WINKLEIGH,DEVON,EX198LJ,Beaford CP
EAST-THE-WATER COMMUNITY PRIMARY SCHOOL,MINES ROAD,EAST THE WATER,BIDEFORD,DEVON,EX394BX,Bideford CP
PYNES INFANT SCHOOL AND NURSERY-MAIN INFANTS SITE,CORONATION ROAD,,BIDEFORD,DEVON,EX393DD,Bideford CP
PYNES INFANT SCHOOL AND NURSERY-NURSERY SITE,CORONATION ROAD,,BIDEFORD,DEVON,EX393DD,Bideford CP
WEST CROFT JUNIOR SCHOOL,CORONATION ROAD,,BIDEFORD,DEVON,EX393DE,Bideford CP
BISHOPS NYMPTON PRIMARY SCHOOL-MAIN SCHOOL SITE,,BISHOPS NYMPTON,SOUTH MOLTON,DEVON,EX364PU,Bishop's Nympton CP
BISHOPS NYMPTON PRIMARY SCHOOL-RECREATION GROUND SITE,,BISHOPS NYMPTON,SOUTH MOLTON,DEVON,EX364PU,Bishop's Nympton CP
BISHOPS TAWTON PRIMARY SCHOOL,BISHOPS TAWTON ROAD,BISHOPS TAWTON,BARNSTAPLE,DEVON,EX320AE,Bishop's Tawton CP
BRADFORD PRIMARY SCHOOL-MAIN SCHOOL SITE,,HOLEMOOR,BRADFORD,DEVON,EX227AB,Bradford CP
BRADFORD PRIMARY SCHOOL-VILLAGE HALL SITE,,HOLEMOOR,BRADFORD,DEVON,EX227AB,Bradford CP
BRADWORTHY COMMUNITY PRIMARY SCHOOL-MAIN SCHOOL SITE,MILL ROAD,,BRADWORTHY,DEVON,EX227RT,Bradworthy CP
BRADWORTHY COMMUNITY PRIMARY SCHOOL- Part of MAIN SCHOOL SITE Unknown Tenure,MILL ROAD,,BRADWORTHY,DEVON,EX227RT,Bradworthy CP
BRATTON FLEMING COMMUNITY PRIMARY SCHOOL,,BRATTON FLEMING,BARNSTAPLE,DEVON,EX314SB,Bratton Fleming CP
CAEN COMMUNITY PRIMARY SCHOOL-MAIN SCHOOL SITE,CAEN STREET,,BRAUNTON,DEVON,EX331AD,Braunton CP
CAEN COMMUNITY PRIMARY SCHOOL-PLAYING FIELD,CAEN STREET,,BRAUNTON,DEVON,EX331AD,Braunton CP
SOUTHMEAD SCHOOL,WRAFTON ROAD,,BRAUNTON,DEVON,EX332BU,Braunton CP
